iter	Passed	Remaining
0	106	106062
1	109	54774
2	111	37083
3	114	28482
4	117	23367
5	121	20186
6	125	17795
7	128	15937
8	131	14512
9	136	13471
10	140	12605
11	143	11787
12	145	11048
13	147	10418
14	151	9974
15	154	9532
16	157	9093
17	159	8683
18	161	8340
19	163	8025
20	167	7806
21	170	7597
22	173	7377
23	176	7161
24	178	6951
25	182	6828
26	184	6663
27	187	6517
28	190	6371
29	191	6206
30	193	6047
31	196	5946
32	199	5854
33	202	5746
34	204	5640
35	206	5535
36	209	5442
37	212	5384
38	215	5320
39	218	5249
40	221	5175
41	223	5095
42	225	5022
43	229	4989
44	232	4943
45	235	4881
46	237	4817
47	240	4769
48	243	4730
49	246	4691
50	249	4639
51	252	4595
52	254	4545
53	256	4495
54	261	4494
55	265	4472
56	267	4431
57	270	4388
58	272	4344
59	276	4329
60	279	4298
61	281	4254
62	283	4219
63	285	4180
64	287	4137
65	291	4122
66	295	4116
67	298	4087
68	300	4053
69	302	4020
70	305	3992
71	308	3978
72	311	3957
73	314	3932
74	317	3911
75	319	3883
76	322	3864
77	326	3861
78	329	3835
79	331	3808
80	333	3781
81	335	3759
82	338	3743
83	342	3729
84	343	3698
85	345	3675
86	347	3647
87	349	3623
88	351	3593
89	355	3592
90	358	3582
91	361	3570
92	364	3550
93	367	3542
94	371	3534
95	373	3516
96	375	3498
97	378	3480
98	379	3453
99	382	3444
100	386	3441
101	391	3443
102	393	3427
103	395	3407
104	399	3406
105	403	3399
106	405	3383
107	408	3369
108	410	3356
109	413	3342
110	423	3394
111	426	3382
112	430	3378
113	433	3371
114	436	3357
115	438	3344
116	442	3336
117	443	3315
118	447	3314
119	452	3315
120	454	3301
121	456	3286
122	459	3274
123	464	3280
124	468	3277
125	470	3266
126	473	3254
127	475	3240
128	480	3247
129	484	3242
130	487	3232
131	491	3229
132	495	3227
133	498	3222
134	501	3211
135	503	3200
136	506	3187
137	508	3178
138	513	3181
139	516	3173
140	519	3162
141	521	3152
142	525	3150
143	528	3143
144	531	3132
145	533	3122
146	536	3112
147	541	3119
148	546	3119
149	548	3109
150	551	3100
151	556	3102
152	559	3094
153	562	3088
154	565	3084
155	569	3078
156	573	3077
157	576	3071
158	578	3060
159	581	3050
160	583	3040
161	587	3037
162	591	3035
163	593	3025
164	595	3016
165	598	3005
166	600	2996
167	604	2996
168	608	2991
169	610	2981
170	613	2972
171	615	2963
172	619	2960
173	622	2954
174	624	2945
175	627	2938
176	629	2926
177	631	2918
178	636	2919
179	638	2910
180	640	2899
181	642	2888
182	644	2879
183	647	2872
184	650	2866
185	652	2857
186	655	2848
187	657	2839
188	659	2829
189	661	2820
190	666	2824
191	668	2815
192	671	2806
193	673	2797
194	675	2788
195	677	2779
196	680	2775
197	683	2768
198	685	2760
199	688	2753
200	690	2744
201	692	2735
202	695	2731
203	698	2726
204	700	2716
205	702	2707
206	704	2699
207	706	2690
208	708	2682
209	712	2680
210	714	2673
211	716	2662
212	718	2654
213	720	2645
214	722	2637
215	724	2630
216	728	2627
217	731	2622
218	733	2615
219	735	2608
220	738	2602
221	741	2598
222	745	2598
223	748	2592
224	750	2584
225	752	2577
226	755	2572
227	758	2567
228	761	2563
229	764	2558
230	765	2549
231	768	2543
232	770	2536
233	772	2529
234	776	2526
235	778	2520
236	780	2514
237	783	2507
238	784	2499
239	787	2492
240	790	2489
241	792	2483
242	795	2477
243	797	2470
244	799	2463
245	802	2458
246	805	2454
247	807	2447
248	809	2440
249	811	2434
250	815	2432
251	817	2426
252	820	2423
253	824	2420
254	827	2416
255	829	2411
256	831	2405
257	834	2398
258	837	2394
259	840	2391
260	842	2385
261	844	2379
262	847	2373
263	849	2367
264	852	2363
265	855	2361
266	858	2355
267	860	2351
268	862	2344
269	865	2338
270	869	2339
271	872	2335
272	875	2330
273	877	2325
274	879	2319
275	883	2316
276	886	2314
277	891	2314
278	894	2311
279	897	2306
280	901	2307
281	904	2301
282	905	2295
283	910	2294
284	913	2293
285	918	2292
286	922	2290
287	925	2287
288	927	2282
289	930	2278
290	936	2281
291	938	2276
292	941	2271
293	943	2266
294	947	2264
295	951	2263
296	953	2256
297	956	2253
298	959	2249
299	964	2251
300	968	2248
301	970	2242
302	972	2237
303	974	2231
304	978	2230
305	982	2228
306	984	2223
307	987	2217
308	989	2212
309	991	2207
310	995	2204
311	997	2199
312	999	2194
313	1001	2188
314	1003	2183
315	1006	2177
316	1010	2177
317	1013	2173
318	1015	2167
319	1017	2162
320	1019	2156
321	1022	2152
322	1025	2149
323	1027	2144
324	1029	2138
325	1031	2133
326	1034	2128
327	1036	2122
328	1038	2117
329	1041	2114
330	1044	2110
331	1046	2105
332	1048	2099
333	1050	2094
334	1052	2090
335	1056	2088
336	1059	2084
337	1061	2079
338	1063	2074
339	1066	2069
340	1068	2064
341	1072	2063
342	1075	2059
343	1077	2054
344	1079	2049
345	1081	2044
346	1085	2043
347	1089	2041
348	1092	2038
349	1095	2033
350	1097	2029
351	1099	2024
352	1103	2022
353	1106	2019
354	1108	2014
355	1110	2009
356	1112	2004
357	1115	2000
358	1119	1998
359	1121	1993
360	1123	1989
361	1126	1985
362	1128	1980
363	1130	1975
364	1135	1974
365	1137	1971
366	1140	1966
367	1142	1961
368	1144	1956
369	1145	1951
370	1149	1949
371	1152	1946
372	1155	1941
373	1157	1937
374	1160	1933
375	1162	1929
376	1166	1927
377	1169	1924
378	1172	1921
379	1174	1916
380	1177	1912
381	1183	1914
